Country,Mintage_year,Mint_count,Description,Image,YearID,Price,Country_map_name
Andorra,2015,85000,30th anniversary of the Coming of Age and Political Rights to the Men and Women turning 18 years old,https://www.coin-database.com/images/Andorra/4353.jpg,0,29.0,Andorra
Andorra,2015,85000,25th anniversary of the Signature of the Customs Agreement with the European Union,https://www.coin-database.com/images/Andorra/4354.jpg,1,27.51,Andorra
Germany,2015,30767100,Hessen: Frankfurter Paulskirche,https://www.coin-database.com/img/2euro/2015de-v.jpg,0,3.9,Deutschland
Finland,2015,1000000,Jean Sibelius,https://www.coin-database.com/images/Finland/3953-v.jpg,1,4.9,Suomi/Finland
San Marino,2015,100000,25th anniversary of German reunification,https://www.coin-database.com/images/San-Marino/3939-v.jpg,0,32.0,San Marino
Belgium,2015,250000,The European Year for Development,https://www.coin-database.com/images/Belgium/4018-v.jpg,0,9.5,Belgique/België
Slovakia,2015,1000000,200th Anniversary of the Birth of Ľudovít Štúr,https://www.coin-database.com/images/Slovakia/3967-v.jpg,0,3.5,Slovensko
Greece,2015,750000,75th Anniversary of the Death of Spyridon Louis,https://www.coin-database.com/images/Greece/3954-v.jpg,0,4.2,Elláda
Germany,2016,30000000,Sachsen: Dresdner Zwinger,https://www.coin-database.com/images/Germany/3458-v.jpg,0,4.9,Deutschland
Ireland,2016,4500000, The Centenary of the 1916 Easter Rising,https://www.coin-database.com/images/Ireland/3599-v.jpg,0,4.9,Éire/Ireland
Austria,2016,16000000,200 Years of the Österreichische Nationalbank,https://www.coin-database.com/images/Austria/4078-v.jpg,0,3.5,Österreich
Malta,2016,380000,Love,https://www.coin-database.com/images/Malta/4080-v.jpg,0,7.5,Malta
Slovenia,2016,1003500,25th Anniversary of the Independence of the Republic of Slovenia,https://www.coin-database.com/images/Slovenia/4095-v.jpg,0,4.1,Slovenija
Spain,2016,8000000,Old Town of Segovia and its Aqueduct,https://www.coin-database.com/images/Spain/4096-v.jpg,0,3.5,España
Estonia,2016,500000,100th Anniversary of the Birth of Paul Keres,https://www.coin-database.com/images/Estonia/4103-v.jpg,0,8.0,Eesti
France,2016,4000000,100th Anniversary of the Birth of François Mitterrand,https://www.coin-database.com/images/France/4129-v.jpg,0,3.5,France
Lithuania,2016,1000000,The Baltic Culture,https://www.coin-database.com/images/Lithuania/4166-v.jpg,0,4.5,Lietuva
Luxembourg,2016,1000000,50 Years of Grand Duchess Charlotte Bridge,https://www.coin-database.com/images/Luxembourg/4176-v.jpg,0,4.1,Luxembourg
Vatican City,2016,105000,200th Anniversary of Corps of Gendarmerie of Vatican City,https://www.coin-database.com/images/Vatican-City/4198-v.jpg,1,48.0,Vatican City
Vatican City,2016,105000,Jubilee of Mercy,https://www.coin-database.com/images/Vatican-City/4199-v.jpg,0,45.9,Vatican City
Portugal,2016,650000,Olympic Games - Rio 2016,https://www.coin-database.com/images/Portugal/4200-v.jpg,1,4.5,Portugal
Latvia,2016,1030000,Vidzeme,https://www.coin-database.com/images/Latvia/4209-v.jpg,0,3.5,Latvija
Belgium,2016,1020500,Child Focus,https://www.coin-database.com/images/Belgium/4212-v.jpg,0,6.9,Belgique/België
San Marino,2016,85000,400th Anniversary of the Death of William Shakespeare,https://www.coin-database.com/images/San-Marino/4239-v.jpg,0,39.0,San Marino
Italy,2016,1500000,500th Anniversary of the Death of Donatello,https://www.coin-database.com/images/Italy/4243-v.jpg,0,4.9,Italia
Italy,2016,1500000,2200th Anniversary of the Death of Tito Maccio Plauto,https://www.coin-database.com/images/Italy/4244-v.jpg,1,6.9,Italia
Andorra,2016,85000,25th anniversary of the Radio and Television of Andorra,https://www.coin-database.com/images/Andorra/4345-v.jpg,1,21.9,Andorra
Andorra,2016,85000,150 years of the New Reform 1866,https://www.coin-database.com/images/Andorra/4346-v.jpg,0,21.9,Andorra
Malta,2016,350000,Ġgantija Temples,https://www.coin-database.com/images/Malta/4347-v.jpg,1,4.9,Malta
Portugal,2016,500000,The Fifty Years of 25th April Bridge,https://www.coin-database.com/images/Portugal/4348-v.jpg,0,4.5,Portugal
Monaco,2016,15000,The 150th anniversary of the foundation of Monte Carlo by Charles III,https://www.coin-database.com/images/Monaco/4349-v.jpg,0,1099.0,Monaco
France,2016,10000000,2016 UEFA European Championship,https://www.coin-database.com/images/France/4350.jpg,1,3.9,France
Slovakia,2016,1000000,First Presidency of the Slovak Republic of the Council of the European Union,https://www.coin-database.com/images/Slovakia/3652-v.jpg,0,3.9,Slovensko
Belgium,2016,375000,Olympic Games - Rio 2016,https://www.coin-database.com/images/Belgium/4101-v.jpg,1,14.0,Belgique/België
San Marino,2016,85000,500th Anniversary of the Death of Donatello,https://www.coin-database.com/images/San-Marino/4238-v.jpg,1,35.0,San Marino
Finland,2016,1000000,Eino Leino,https://www.coin-database.com/images/Finland/4269-v.jpg,1,4.9,Suomi/Finland
Latvia,2016,1030000,The Latvian Brown,https://www.coin-database.com/images/Latvia/4292.jpg,1,4.5,Latvija
Greece,2016,750000,150 years from the Arkadi Monastery Torching,https://www.coin-database.com/images/Greece/4343-v.jpg,1,3.5,Elláda
Greece,2016,750000,120 years from the birth of Dimitri Mitropoulos,https://www.coin-database.com/images/Greece/4344-v.jpg,0,3.5,Elláda
Finland,2016,1000000,Georg Henrik von Wright,https://www.coin-database.com/images/Finland/4270-v.jpg,0,5.5,Suomi/Finland
Germany,2017,30000000,Rheinland-Pfalz: Porta Nigra,https://www.coin-database.com/images/Germany/3456-v.jpg,0,4.9,Deutschland
Malta,2017,405000,Peace,https://www.coin-database.com/images/Malta/4081-v.jpg,0,4.9,Malta
Lithuania,2017,1010000,Vilnius – capital of culture and art,https://www.coin-database.com/images/Lithuania/4167-v.jpg,0,3.9,Lietuva
Estonia,2017,1500000,The events that preceded Estonia’s independence,https://www.coin-database.com/images/Estonia/4290-v.jpg,0,3.9,Eesti
Luxembourg,2017,813500,The 50th anniversary of the voluntariness of the Luxembourg army,https://www.coin-database.com/images/Luxembourg/4351-v.jpg,1,4.5,Luxembourg
France,2017,10000000,Centenary of Auguste Rodin,https://www.coin-database.com/images/France/4352-v.jpg,1,3.5,France
Belgium,2017,180000,200 Years Liege University,https://www.coin-database.com/images/Belgium/4355-v.jpg,1,15.4,Belgique/België
Luxembourg,2017,313500,200th Birthday of the Grand Duke William III,https://www.coin-database.com/images/Luxembourg/4367-v.jpg,0,4.2,Luxembourg
Belgium,2017,200000,200th anniversary of the Ghent University,https://www.coin-database.com/images/Belgium/4388-v.jpg,0,11.0,Belgique/België
Malta,2017,405000,UNESCO Maltese prehistoric temples of Hagar Qim,https://www.coin-database.com/images/Malta/4416-v.jpg,1,4.9,Malta
Vatican City,2017,105000,Centenary of the Fatima apparitions,https://www.coin-database.com/images/Vatican-City/4422-v.jpg,1,42.9,Vatican City
Vatican City,2017,105000,1950th Anniversary of the Martyrdom of Saint Peter and Saint Paul,https://www.coin-database.com/images/Vatican-City/4429-v.jpg,0,49.0,Vatican City
San Marino,2017,70500,International Year of Sustainable Tourism for Development,https://www.coin-database.com/images/San-Marino/4432-v.jpg,0,39.0,San Marino
Portugal,2017,520000,150 Years of Public Security,https://www.coin-database.com/images/Portugal/4433-v.jpg,1,3.5,Portugal
Italy,2017,1500000,400th Anniversary of the completion of the Basilica of San Marco in Venice,https://www.coin-database.com/images/Italy/4434-v.jpg,1,4.5,Italia
